record_id,irrigation_treatment,phenological_stage,replication
272,T12,I2,nan
273,T13,I2,nan
274,T11,I3,nan
275,T12,I3,nan
276,T13,I3,nan
277,T11,I1,nan
278,T12,I1,nan
279,T13,I1,nan
280,T11,I2,nan
281,T12,I2,nan
282,T13,I2,nan
283,T11,I3,nan
284,T12,I3,nan
285,T13,I3,nan
286,T11,I1,nan
287,T12,I1,nan
288,T13,I1,nan
289,T11,I2,nan
290,T12,I2,nan
291,T13,I2,nan
292,T11,I3,nan
293,T12,I3,nan
294,T13,I3,nan
295,T11,I1,nan
296,T12,I1,nan
297,T13,I1,nan
298,T11,I2,nan
299,T12,I2,nan
300,T13,I2,nan
301,T11,I3,nan
302,T12,I3,nan
303,T13,I3,nan
304,T11,I1,nan
305,T12,I1,nan
306,T13,I1,nan
307,T11,I2,nan
308,T12,I2,nan
309,T13,I2,nan
310,T11,I3,nan
311,T12,I3,nan
312,T13,I3,nan
313,T11,I1,nan
314,T12,I1,nan
315,T13,I1,nan
316,T11,I2,nan
317,T12,I2,nan
318,T13,I2,nan
319,T11,I3,nan
320,T12,I3,nan
321,T13,I3,nan
322,T11,I1,nan
323,T12,I1,nan
324,T13,I1,nan
325,T11,I2,nan
326,T12,I2,nan
327,T13,I2,nan
328,T11,I3,nan
329,T12,I3,nan
330,T13,I3,nan
331,T11,,nan
332,T12,,nan
333,T13,,nan
334,T11,I1,nan
335,T12,I1,nan
336,T13,I1,nan
337,T11,I2,nan
338,T12,I2,nan
339,T13,I2,nan
340,T11,I3,nan
341,T12,I3,nan
342,T13,I3,nan
343,T11,I1,nan
344,T12,I1,nan
345,T13,I1,nan
346,T11,I2,nan
347,T12,I2,nan
348,T13,I2,nan
349,T11,I3,nan
350,T12,I3,nan
351,T13,I3,nan
352,T11,I1,nan
353,T12,I1,nan
354,T13,I1,nan
355,T11,I2,nan
356,T12,I2,nan
357,T13,I2,nan
358,T11,I3,nan
359,T12,I3,nan
360,T13,I3,nan
361,T11,I1,nan
362,T12,I1,nan
363,T13,I1,nan
364,T11,I2,nan
365,T12,I2,nan
366,T13,I2,nan
367,T11,I3,nan
368,T12,I3,nan
369,T13,I3,nan
370,T11,I1,nan
371,T12,I1,nan
372,T13,I1,nan
373,T11,I2,nan
374,T12,I2,nan
375,T13,I2,nan
376,T11,I3,nan
377,T12,I3,nan
378,T13,I3,nan
379,T11,I1,nan
380,T12,I1,nan
381,T13,I1,nan
382,T11,I2,nan
383,T12,I2,nan
384,T13,I2,nan
385,T11,I3,nan
386,T12,I3,nan
387,T13,I3,nan
388,T11,,nan
389,T12,,nan
390,T13,,nan
391,T11,,nan
392,T12,,nan
393,T13,,nan
394,T11,,nan
395,T12,,nan
396,T13,,nan
397,T11,,nan
398,T12,,nan
399,T13,,nan
400,T11,,nan
401,T12,,nan
402,T13,,nan
403,T11,,nan
404,T12,,nan
405,T13,,nan
406,T11,,nan
407,T12,,nan
408,T13,,nan
409,T11,,nan
410,T12,,nan
411,T13,,nan
412,T11,,nan
413,T12,,nan
414,T13,,nan
415,T11,,nan
416,T12,,nan
417,T13,,nan
418,T11,,nan
419,T12,,nan
420,T13,,nan
421,T11,,nan
422,T12,,nan
423,T13,,nan
424,T11,,nan
425,T12,,nan
426,T13,,nan
427,T11,,nan
428,T12,,nan
429,T13,,nan
430,T11,,nan
431,T12,,nan
432,T13,,nan
433,T11,,nan
434,T12,,nan
435,T13,,nan
436,T11,,nan
437,T12,,nan
438,T13,,nan
439,T11,,nan
440,T12,,nan
441,T13,,nan
442,T11,,nan
443,T12,,nan
444,T13,,nan
445,T11,,nan
446,T12,,nan
447,T13,,nan
448,T11,,nan
449,T12,,nan
450,T13,,nan
451,T11,,nan
452,T12,,nan
453,T13,,nan
454,T11,,nan
455,T12,,nan
456,T13,,nan
457,T11,,nan
458,T12,,nan
459,T13,,nan
460,T11,,nan
461,T12,,nan
462,T13,,nan
463,T11,,nan
464,T12,,nan
465,T13,,nan
466,T11,,nan
467,T12,,nan
468,T13,,nan
469,T11,,nan
470,T12,,nan
471,T13,,nan
472,T11,,nan
473,T12,,nan
474,T13,,nan
475,T11,,nan
476,T12,,nan
477,T13,,nan
478,T11,,nan
479,T12,,nan
480,T13,,nan
481,T11,,nan
482,T12,,nan
483,T13,,nan
484,T11,,nan
485,T12,,nan
486,T13,,nan
487,T11,,nan
488,T12,,nan
489,T13,,nan
490,T11,,nan
491,T12,,nan
492,T13,,nan
493,T11,,nan
494,T12,,nan
495,T13,,nan
496,T11,,nan
497,T12,,nan
498,T13,,nan
499,T11,,nan
500,T12,,nan
501,T13,,nan
502,T11,,nan
503,T12,,nan
504,T13,,nan
505,T11,,nan
506,T12,,nan
507,T13,,nan
508,T11,,nan
509,T12,,nan
510,T13,,nan
511,T11,,nan
512,T12,,nan
513,T13,,nan
514,T11,,nan
515,T12,,nan
516,T13,,nan
517,T11,,nan
518,T12,,nan
519,T13,,nan
520,T11,,nan
521,T12,,nan
522,T13,,nan
