record_id,Unnamed: 0_data1,Main_data1,Sub_data1,Interval,Replication,Unnamed: 5,Unnamed: 6,Main.1,Sub.1,Intervals,Rep,Unnamed: 11,Stage 3,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Stage 4,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 0_data2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Main_data2,Sub_data2,Unnamed: 8,Treat,Rep.1,Unnamed: 12
28,,I3,S1,1.0,1.0,36.7,,I3,S2,3.0,1.0,42.1,I2,S3,1,1,36.8,I2,S4,9,1,41.2,T3,78.9,79.2,80.7,I1,S4,81.4,T4,1,81.4
29,,I3,S1,1.0,1.0,36.7,,I3,S2,3.0,1.0,42.1,I2,S3,1,1,36.8,I2,S4,9,1,41.2,T4,81.4,82.3,82.5,I2,S1,75.4,T5,1,75.4
30,,I3,S1,1.0,1.0,36.7,,I3,S2,3.0,1.0,42.1,I2,S3,1,1,36.8,I2,S4,9,1,41.2,T5,75.4,76.2,75.5,I2,S2,75.2,T6,1,75.2
31,,I3,S1,1.0,1.0,36.7,,I3,S2,3.0,1.0,42.1,I2,S3,1,1,36.8,I2,S4,9,1,41.2,T6,75.2,74.8,75,I2,S3,76.2,T7,1,76.2
32,,I3,S1,1.0,1.0,36.7,,I3,S2,3.0,1.0,42.1,I2,S3,1,1,36.8,I2,S4,9,1,41.2,T7,76.2,77.1,76.5,I2,S4,75.3,T8,1,75.3
33,,I3,S1,1.0,1.0,36.7,,I3,S2,3.0,1.0,42.1,I2,S3,1,1,36.8,I2,S4,9,1,41.2,T8,75.3,74.4,75.4,I3,S1,72.3,T9,1,72.3
34,,I3,S1,1.0,1.0,36.7,,I3,S2,3.0,1.0,42.1,I2,S3,1,1,36.8,I2,S4,9,1,41.2,T9,72.3,70.6,69.4,I3,S2,70.2,T10,1,70.2
35,,I3,S1,1.0,1.0,36.7,,I3,S2,3.0,1.0,42.1,I2,S3,1,1,36.8,I2,S4,9,1,41.2,T10,70.2,69.9,70.3,I3,S3,67.2,T11,1,67.2
36,,I3,S1,1.0,1.0,36.7,,I3,S2,3.0,1.0,42.1,I2,S3,1,1,36.8,I2,S4,9,1,41.2,T11,67.2,67.3,68.4,I3,S4,68.0,T12,1,68.0
37,,I1,S1,1.0,2.0,31.4,,I1,S2,3.0,2.0,37.4,I3,S3,1,1,35.4,I3,S4,9,1,45.1,T12,68,68.2,67.9,I1,S1,80.2,T13,1,81.4
38,,I1,S1,1.0,2.0,31.4,,I1,S2,3.0,2.0,37.4,I3,S3,1,1,35.4,I3,S4,9,1,45.1,T13,81.4,81,80.4,I1,S2,80.0,T1,2,80.2
39,,I1,S1,1.0,2.0,31.4,,I1,S2,3.0,2.0,37.4,I3,S3,1,1,35.4,I3,S4,9,1,45.1,,,,,I1,S3,79.2,T2,2,80.0
40,,I1,S1,1.0,2.0,31.4,,I1,S2,3.0,2.0,37.4,I3,S3,1,1,35.4,I3,S4,9,1,45.1,,,,,I1,S4,82.3,T3,2,79.2
41,,I1,S1,1.0,2.0,31.4,,I1,S2,3.0,2.0,37.4,I3,S3,1,1,35.4,I3,S4,9,1,45.1,,,,,I2,S1,76.2,T4,2,82.3
42,,I1,S1,1.0,2.0,31.4,,I1,S2,3.0,2.0,37.4,I3,S3,1,1,35.4,I3,S4,9,1,45.1,,,,,I2,S2,74.8,T5,2,76.2
43,,I1,S1,1.0,2.0,31.4,,I1,S2,3.0,2.0,37.4,I3,S3,1,1,35.4,I3,S4,9,1,45.1,,,,,I2,S3,77.1,T6,2,74.8
44,,I1,S1,1.0,2.0,31.4,,I1,S2,3.0,2.0,37.4,I3,S3,1,1,35.4,I3,S4,9,1,45.1,,,,,I2,S4,74.4,T7,2,77.1
45,,I1,S1,1.0,2.0,31.4,,I1,S2,3.0,2.0,37.4,I3,S3,1,1,35.4,I3,S4,9,1,45.1,,,,,I3,S1,70.6,T8,2,74.4
46,,I1,S1,1.0,2.0,31.4,,I1,S2,3.0,2.0,37.4,I3,S3,1,1,35.4,I3,S4,9,1,45.1,,,,,I3,S2,69.9,T9,2,70.6
47,,I1,S1,1.0,2.0,31.4,,I1,S2,3.0,2.0,37.4,I3,S3,1,1,35.4,I3,S4,9,1,45.1,,,,,I3,S3,67.3,T10,2,69.9
48,,I1,S1,1.0,2.0,31.4,,I1,S2,3.0,2.0,37.4,I3,S3,1,1,35.4,I3,S4,9,1,45.1,,,,,I3,S4,68.2,T11,2,67.3
49,,I2,S1,1.0,2.0,33.5,,I2,S2,3.0,2.0,39.8,I1,S3,1,2,37.3,I1,S4,9,2,40.7,T12,68,68.2,67.9,I1,S1,80.2,T13,1,81.4
50,,I2,S1,1.0,2.0,33.5,,I2,S2,3.0,2.0,39.8,I1,S3,1,2,37.3,I1,S4,9,2,40.7,T13,81.4,81,80.4,I1,S2,80.0,T1,2,80.2
