record_id,Unnamed: 0_data1,Main_data1,Sub_data1,Interval,Replication,Unnamed: 5,Unnamed: 6,Main.1,Sub.1,Intervals,Rep,Unnamed: 11,Stage 3,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Stage 4,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 0_data2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Main_data2,Sub_data2,Unnamed: 8,Treat,Rep.1,Unnamed: 12
115,,I1,S1,2.0,1.0,30.4,,I1,S2,4.0,1.0,37.8,,,,,,,,,,,T3,78.9,79.2,80.7,I1,S4,81.4,T4,1,81.4
116,,I1,S1,2.0,1.0,30.4,,I1,S2,4.0,1.0,37.8,,,,,,,,,,,T4,81.4,82.3,82.5,I2,S1,75.4,T5,1,75.4
117,,I1,S1,2.0,1.0,30.4,,I1,S2,4.0,1.0,37.8,,,,,,,,,,,T5,75.4,76.2,75.5,I2,S2,75.2,T6,1,75.2
118,,I1,S1,2.0,1.0,30.4,,I1,S2,4.0,1.0,37.8,,,,,,,,,,,T6,75.2,74.8,75,I2,S3,76.2,T7,1,76.2
119,,I1,S1,2.0,1.0,30.4,,I1,S2,4.0,1.0,37.8,,,,,,,,,,,T7,76.2,77.1,76.5,I2,S4,75.3,T8,1,75.3
120,,I1,S1,2.0,1.0,30.4,,I1,S2,4.0,1.0,37.8,,,,,,,,,,,T8,75.3,74.4,75.4,I3,S1,72.3,T9,1,72.3
121,,I1,S1,2.0,1.0,30.4,,I1,S2,4.0,1.0,37.8,,,,,,,,,,,T9,72.3,70.6,69.4,I3,S2,70.2,T10,1,70.2
122,,I1,S1,2.0,1.0,30.4,,I1,S2,4.0,1.0,37.8,,,,,,,,,,,T10,70.2,69.9,70.3,I3,S3,67.2,T11,1,67.2
123,,I1,S1,2.0,1.0,30.4,,I1,S2,4.0,1.0,37.8,,,,,,,,,,,T11,67.2,67.3,68.4,I3,S4,68.0,T12,1,68.0
124,,I2,S1,2.0,1.0,32.4,,I2,S2,4.0,1.0,39.9,I1,S3,2,1,29.6,I1,S4,10,1,37.5,,R1,R2,R3,I1,S1,80.9,T1,1,80.9
125,,I2,S1,2.0,1.0,32.4,,I2,S2,4.0,1.0,39.9,I1,S3,2,1,29.6,I1,S4,10,1,37.5,T1,80.9,80.2,80.3,I1,S2,80.4,T2,1,80.4
126,,I2,S1,2.0,1.0,32.4,,I2,S2,4.0,1.0,39.9,I1,S3,2,1,29.6,I1,S4,10,1,37.5,T2,80.4,80,79.6,I1,S3,78.9,T3,1,78.9
127,,I2,S1,2.0,1.0,32.4,,I2,S2,4.0,1.0,39.9,I1,S3,2,1,29.6,I1,S4,10,1,37.5,T3,78.9,79.2,80.7,I1,S4,81.4,T4,1,81.4
128,,I2,S1,2.0,1.0,32.4,,I2,S2,4.0,1.0,39.9,I1,S3,2,1,29.6,I1,S4,10,1,37.5,T4,81.4,82.3,82.5,I2,S1,75.4,T5,1,75.4
129,,I2,S1,2.0,1.0,32.4,,I2,S2,4.0,1.0,39.9,I1,S3,2,1,29.6,I1,S4,10,1,37.5,T5,75.4,76.2,75.5,I2,S2,75.2,T6,1,75.2
